Location,lat,lng
BatteryStorage.csv,32.88056903,-117.2409977
ThermalStorage.csv,32.87363245,-117.2390973
TradeStreetBattery.csv,32.88946906,117.1593596
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"""00:15""",0,""":15"""
"""00:30""",1,""":30"""
"""00:45""",2,""":45"""
"""01:00""","""02""",""":00"""
"""01:15""","""02""",""":15"""
"""01:30""","""02""",""":30"""
"""01:45""","""02""",""":45"""
"""02:00""","""03""",""":00"""
"""03:15""","""03""",""":15"""
"""04:30""","""03""",""":30"""
"""05:45""","""03""",""":45"""
"""06:00""","""04""",""":00"""
"""01:15""","""04""",""":15"""
"""01:30""","""04""",""":30"""
"""01:45""","""04""",""":45"""
"""02:00""",,""":00"""
"""00:15""",,""":15"""
"""00:30""",,""":30"""
"""00:45""",,""":45"""
"""01:00""",,""":00"""
"""01:15""",,""":15"""
"""01:30""",,""":30"""
"""01:45""",,""":45"""
"""02:00""",,""":00"""
"""00:15""",,""":15"""
"""00:30""",,""":30"""
"""00:45""",,""":45"""
"""01:00""",,""":00"""
,,""":15"""
,,""":30"""
,,""":45"""
,,""":00"""
